Open,High,Low,Close,TickVolume
1.15722,1.15733,1.15035,1.15269,43401
1.15274,1.15751,1.15125,1.15387,47452
1.15388,1.16,1.15335,1.15884,53323
1.15884,1.16233,1.15827,1.16141,15877
1.15858,1.16134,1.15795,1.1594,23578
1.15941,1.16097,1.15853,1.15936,29889
1.15937,1.16074,1.15427,1.15644,45339
1.15644,1.15645,1.14755,1.14797,38426
1.14797,1.15285,1.146,1.14682,42560
1.14684,1.14776,1.14507,1.14663,18271
1.14662,1.14966,1.14637,1.14909,22614
1.14909,1.15324,1.14891,1.15234,38359
1.15231,1.15498,1.15015,1.15344,51065
1.15339,1.15663,1.15272,1.15489,37562
1.15488,1.15507,1.1437,1.14854,54118
1.14853,1.14885,1.14664,1.14881,14983
1.14873,1.15103,1.14719,1.15064,32634
1.15063,1.15264,1.14963,1.15107,41357
1.15107,1.1524,1.14847,1.14976,44732
1.14976,1.15171,1.14804,1.14932,41493
1.14932,1.14944,1.14488,1.14723,34092
1.147,1.15645,1.13836,1.13896,47556
1.13895,1.14218,1.13743,1.14125,27718
1.14124,1.14207,1.14035,1.14094,27871
1.14089,1.1409,1.1244,1.1253,50333
1.1253,1.12698,1.11566,1.11775,57820
1.11773,1.12299,1.11575,1.11766,51059
1.11766,1.11793,1.11503,1.11597,17312
1.11599,1.11985,1.11494,1.11982,24119
1.11982,1.12412,1.11909,1.12075,34637
1.12076,1.12497,1.11916,1.12188,53617
1.12188,1.12969,1.11475,1.12701,56010
1.12702,1.13373,1.12624,1.13328,62557
1.13327,1.13817,1.13208,1.13734,21515
1.13094,1.13431,1.12982,1.13253,24020
1.13252,1.13501,1.13178,1.13351,32574
1.13352,1.14704,1.12904,1.1441,63003
1.1441,1.14777,1.14263,1.14701,45353
1.14701,1.15187,1.1441,1.15176,48385
1.15176,1.15414,1.15097,1.15133,19875
1.151,1.15369,1.14994,1.15149,24846
1.15149,1.15187,1.14797,1.14865,32047
1.14865,1.14976,1.14438,1.14916,48230
1.14915,1.14932,1.14297,1.14458,39654
1.14459,1.15991,1.14443,1.15782,42145
1.1578,1.15849,1.1512,1.15428,13319
1.15362,1.15575,1.15226,1.15297,9564
1.15297,1.15596,1.15297,1.1535,15279
1.15349,1.1567,1.14374,1.14522,43653
1.14519,1.14763,1.14044,1.14102,45459
1.14103,1.14396,1.13561,1.13792,52890
1.13799,1.13846,1.13334,1.13548,13577
1.13517,1.13919,1.13335,1.13866,6710
1.13866,1.14119,1.13721,1.14074,12979
1.14073,1.1413,1.1363,1.13663,41825
1.13664,1.16537,1.13657,1.16079,35866
1.16083,1.16867,1.15927,1.16439,69513
1.16441,1.17309,1.16433,1.17138,19433
1.17035,1.17167,1.1647,1.165,10412
1.165,1.17176,1.165,1.17084,17499
1.17083,1.17709,1.16926,1.1756,44807
1.17558,1.17959,1.17194,1.17802,63463
1.17804,1.18047,1.17088,1.17988,61611
1.1799,1.18549,1.17956,1.18321,31301
1.17963,1.18173,1.17647,1.1788,35721
1.17878,1.17933,1.17431,1.17474,39865
1.17474,1.18289,1.17474,1.18005,53438
1.17996,1.18132,1.17395,1.17582,57849
1.17584,1.17669,1.171,1.17578,57495
1.1758,1.18029,1.17498,1.17572,26409
1.17541,1.17673,1.17404,1.17485,19540
1.17484,1.1784,1.17437,1.17762,23583
1.17758,1.18446,1.177,1.18234,53874
1.18248,1.20296,1.18204,1.19673,61369
1.19682,1.1989,1.18558,1.18923,71005
1.18923,1.1897,1.17903,1.18651,54219
